2024-05-22 22:30:32 8136/8136 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-22 22:30:35 8324/8324 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-22 22:53:27 12797/12797 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-22 22:54:30 15146/15146 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-22 23:24:04 26239/26239 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 01:42:01 25473/25473 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 01:53:13 7675/7675 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 02:02:39 20938/20938 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 02:10:41 4580/4580 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 02:14:32 11973/11973 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 02:17:13 17060/17060 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 02:20:16 21922/21922 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 02:37:00 16197/16197 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 03:00:14 32627/32627 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 11:27:58 29861/29861 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 11:31:17 3539/3539 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-23 11:38:06 15522/15522 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-24 10:55:20 24029/24029 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-24 10:59:33 2616/2616 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-24 13:18:30 15311/15311 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

2024-05-24 13:22:26 25254/25254 D/PretiumManager: [doLoadLocalStatusSync] from = X8Application_onCreate_loadLocalStatusSync, file = /data/user/0/com.f1player/files/pretium, file not exist, use none

